Accepted intervals:
Rejected intervals:
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.755843437500001, 3.126443750000001] ; [-1, -0.5489312499999997] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.589073296875001] ; [-0.5489312499999998, -0.3008434374999996] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.589073296875, 2.755843437500002] ; [-0.5489312499999998, -0.3008434374999996] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.755843437500002] ; [-0.3008434374999997, 0.002375000000000461] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.755843437500001, 3.126443750000001] ; [-0.5489312499999998, 0.002375000000000461] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [3.12644375, 3.950000000000001] ; [-1, 0.002375000000000461] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.755843437500002] ; [0.00237500000000046, 0.2504628125000006] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.589073296875001] ; [0.2504628125000005, 0.5536812500000006] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.589073296875, 2.755843437500002] ; [0.2504628125000005, 0.5536812500000006] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.755843437500001, 3.126443750000001] ; [0.00237500000000046, 0.5536812500000006] ; [-0.05000000000000001, 0.05000000000000001])
